,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration,,Ground Truth,Gazepath,Dispersion,Velocity,Ground Truth,Gazepath,Dispersion,Velocity
1,29,17,9,439.6552,792.1765,1500.7778,12750,13467,13507,19,712.7368,13542,,,,,,,,,
2,33,27,18,380.0909,490.7778,754.8889,12543,13251,13588,30,437.2,13116,,,,,,,,,
3,37,28,21,337.5405,490.0357,664.1905,12489,13721,13948,33,412.4848,13612,,,,,,,,,
4,32,31,23,399.5,440.5484,597.1739,12784,13657,13735,32,420.8125,13466,,,,,,,,,
5,22,16,9,615.9091,885.875,1576.1111,13550,14174,14185,19,742,14098,,,,,,,,,
6,27,24,15,492.6296,588.9167,943.9333,13301,14134,14159,26,539.4231,14025,,,,,,,,,
7,29,26,20,439.5517,512,675.25,12747,13312,13505,31,426.2581,13214,,,,,,,,,
8,23,19,14,569.3478,731.4737,1001.2857,13095,13898,14018,22,628.0909,13818,,,,,,,,,
9,41,29,21,307.7317,462.7931,650.619,12617,13421,13663,35,377.7143,13220,,,,,,,,,
10,39,37,31,316.9231,373.8919,447.129,12360,13834,13861,40,340.175,13607,,,,,,,,,
11,37,23,12,341.3243,614.8696,1180.9167,12629,14142,14171,27,521,14067,,,,,,,,,
12,25,17,6,524.8,821,2333,13120,13957,13998,21,659.381,13847,,,,,,,,,
13,31,28,20,421.7097,497.3214,695.8,13073,13925,13916,31,444.0968,13767,,,,,,,,,
14,36,30,22,365.0833,471.8667,641.9091,13143,14156,14122,31,453.4516,14057,,,,,,,,,
15,33,30,21,396,468.6333,671.9048,13068,14059,14110,32,433.25,13864,,,,,,,,,
16,41,38,26,313.9756,369.3158,541.5385,12873,14034,14080,41,340.0488,13942,,,,,,,,,
17,22,22,13,555.9091,572.4091,989.0769,12230,12593,12858,26,485.7308,12629,,,,,,,,,
18,42,38,26,299.0476,364.1316,537.0769,12560,13837,13964,41,333.8537,13688,,,,,,,,,
19,37,32,24,307.4865,374.9063,511.375,11377,11997,12273,41,305.5366,12527,,,,,,,,,
20,25,18,9,519.64,766.7222,1540.4444,12991,13801,13864,25,548.84,13721,,,,,,,,,
21,41,38,31,303.9512,356.6053,437.4194,12462,13551,13560,41,328.2683,13459,,,,,,,,,
22,30,29,18,417.5,453.4828,741.8889,12525,13151,13354,32,406.0313,12993,,,,,,,,,
23,15,15,11,894.1333,925.8667,1266.4545,13412,13888,13931,16,865.5625,13849,,,,,,,,,
24,37,26,15,338.1892,512.8846,896.4,12513,13335,13446,35,374.8286,13119,,,,,,,,,
25,31,28,19,403.9677,482.25,715.4737,12523,13503,13594,34,396.0588,13466,,,,,,,,,
26,27,22,12,488.7778,616.2273,1148.4167,13197,13557,13781,31,441.7097,13693,,,,,,,,,
27,16,16,12,835.4375,867.125,1157.0833,13367,13874,13885,17,817.7647,13902,,,,,,,,,
28,29,22,13,457.4138,642.7727,1089.6154,13265,14141,14165,25,561.56,14039,,,,,,,,,
29,34,23,19,374.2059,596.4348,726.5789,12723,13718,13805,28,483.3929,13535,,,,,,,,,
30,41,33,17,309.3415,411.1212,802.0588,12683,13567,13635,36,370.2222,13328,,,,,,,,,
1,24,18,14,259.75,374.7222,493.5714,6234,6745,6910,19,347.6316,6605,,,,,,,,,
2,15,15,9,412.8667,426.4667,741.8889,6193,6397,6677,17,368.8824,6271,,,,,,,,,
3,24,21,17,264.5833,326.4762,418.6471,6350,6856,7117,24,283.5833,6806,,,,,,,,,
4,22,21,17,284.9545,320.2381,400.6471,6269,6725,6811,25,264.72,6618,,,,,,,,,
5,19,18,12,354.5789,395.5,599.3333,6737,7119,7192,19,370.9474,7048,,,,,,,,,
6,16,16,11,418.3125,444.0625,656.2727,6693,7105,7219,17,412.8824,7019,,,,,,,,,
7,15,12,10,435.5333,567.5833,703.1,6533,6811,7031,15,451.4,6771,,,,,,,,,
8,15,14,13,372.0667,435.0714,492.3846,5581,6091,6401,17,369.4118,6280,,,,,,,,,
9,22,17,14,293.5,406.2353,496.5,6457,6906,6951,20,340,6800,,,,,,,,,
10,20,18,12,322.5,386.9444,597.75,6450,6965,7173,21,331.1429,6954,,,,,,,,,
11,22,21,20,288.2273,331.8095,357.55,6341,6968,7151,24,286.8333,6884,,,,,,,,,
12,22,10,4,305.5455,724.1,1813.25,6722,7241,7253,13,548.9231,7136,,,,,,,,,
13,12,14,11,548.1667,494.7143,636.2727,6578,6926,6999,15,464.4,6966,,,,,,,,,
14,25,25,19,259.64,282.92,370.6316,6491,7073,7042,27,256.8519,6935,,,,,,,,,
15,17,20,16,378.0588,348.9,438.8125,6427,6978,7021,20,341.1,6822,,,,,,,,,
