,,,Count ,,,Avg Duration (ms),,,Cum. Duration (ms),,,Ground Truth,,,,Count ,,,Avg Duration (ms),,,Cum. Duration (ms),,,Ground Truth,,
,,,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration,,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration
1,Basketball,1,29,17,9,439.6552,792.1765,1500.7778,12750,13467,13507,19,712.7368,13542,,33,19,12,399.9394,715.2105,1150.667,13198,13589,13808,19,712.7368,13542
,,2,33,27,18,380.0909,490.7778,754.8889,12543,13251,13588,30,437.2,13116,,25,22,13,406.32,485.5455,857.1538,10158,10682,11143,30,437.2,13116
,,3,37,28,21,337.5405,490.0357,664.1905,12489,13721,13948,33,412.4848,13612,,32,29,18,330,388.6552,638.3333,10560,11271,11490,33,412.4848,13612
,,4,32,31,23,399.5,440.5484,597.1739,12784,13657,13735,32,420.8125,13466,,29,28,23,408.069,444.0357,548.1304,11834,12433,12607,32,420.8125,13466
,,5,22,16,9,615.9091,885.875,1576.1111,13550,14174,14185,19,742,14098,,23,21,10,598.3913,673.2857,1418.9,13763,14139,14189,19,742,14098
,,6,27,24,15,492.6296,588.9167,943.9333,13301,14134,14159,26,539.4231,14025,,28,25,14,476.1071,558.52,1004.571,13331,13963,14064,26,539.4231,14025
,,7,29,26,20,439.5517,512,675.25,12747,13312,13505,31,426.2581,13214,,20,19,13,431.3,476.2105,710.9231,8626,9048,9242,31,426.2581,13214
,,8,23,19,14,569.3478,731.4737,1001.2857,13095,13898,14018,22,628.0909,13818,,21,20,13,594.7619,660.45,1024.077,12490,13209,13313,22,628.0909,13818
,,9,41,29,21,307.7317,462.7931,650.619,12617,13421,13663,35,377.7143,13220,,40,34,20,289.05,367.6176,634.55,11562,12499,12691,35,377.7143,13220
,,10,39,37,31,316.9231,373.8919,447.129,12360,13834,13861,40,340.175,13607,,34,33,25,317.9706,353.4242,467.72,10811,11663,11693,40,340.175,13607
,,11,37,23,12,341.3243,614.8696,1180.9167,12629,14142,14171,27,521,14067,,38,28,17,337.4737,494.8214,815.5882,12824,13855,13865,27,521,14067
,,12,25,17,6,524.8,821,2333,13120,13957,13998,21,659.381,13847,,25,23,12,534.04,602.8696,1161.417,13351,13866,13937,21,659.381,13847
,,13,31,28,20,421.7097,497.3214,695.8,13073,13925,13916,31,444.0968,13767,,30,29,20,413.9,448.5172,653.85,12417,13007,13077,31,444.0968,13767
,,14,36,30,22,365.0833,471.8667,641.9091,13143,14156,14122,31,453.4516,14057,,37,35,26,354.8649,401.8,540.3462,13130,14063,14049,31,453.4516,14057
,,15,33,30,21,396,468.6333,671.9048,13068,14059,14110,32,433.25,13864,,27,27,13,408.1111,429.0741,907.3077,11019,11585,11795,32,433.25,13864
,,16,41,38,26,313.9756,369.3158,541.5385,12873,14034,14080,41,340.0488,13942,,39,39,33,308.6667,331.7692,394.0606,12038,12939,13004,41,340.0488,13942
,,17,22,22,13,555.9091,572.4091,989.0769,12230,12593,12858,26,485.7308,12629,,22,26,17,561.5909,479.0769,762.8235,12355,12456,12968,26,485.7308,12629
,,18,42,38,26,299.0476,364.1316,537.0769,12560,13837,13964,41,333.8537,13688,,38,37,24,326.3421,356.8649,552.375,12401,13204,13257,41,333.8537,13688
,,19,37,32,24,307.4865,374.9063,511.375,11377,11997,12273,41,305.5366,12527,,30,26,17,289.0667,341.1154,554,8672,8869,9418,41,305.5366,12527
,,20,25,18,9,519.64,766.7222,1540.4444,12991,13801,13864,25,548.84,13721,,23,25,17,555.7391,538.36,799.2941,12782,13459,13588,25,548.84,13721
